bench,demangled_name,ir_name,pct,file
600.perlbench_s,S_regmatch,S_regmatch,21.68,600.perlbench_s/S_regmatch.ll
600.perlbench_s,Perl_yyparse,Perl_yyparse,9.89,600.perlbench_s/Perl_yyparse.ll
600.perlbench_s,Perl_re_op_compile,Perl_re_op_compile,9.09,600.perlbench_s/Perl_re_op_compile.ll
600.perlbench_s,Perl_yylex,Perl_yylex,4.23,600.perlbench_s/Perl_yylex.ll
600.perlbench_s,Perl_leave_scope,Perl_leave_scope,3.99,600.perlbench_s/Perl_leave_scope.ll
600.perlbench_s,Perl_hv_common,Perl_hv_common,3.53,600.perlbench_s/Perl_hv_common.ll
600.perlbench_s,Perl_sv_setsv_flags,Perl_sv_setsv_flags,2.89,600.perlbench_s/Perl_sv_setsv_flags.ll
600.perlbench_s,Perl_sv_upgrade,Perl_sv_upgrade,2.36,600.perlbench_s/Perl_sv_upgrade.ll
600.perlbench_s,Perl_sv_clear,Perl_sv_clear,2.31,600.perlbench_s/Perl_sv_clear.ll
600.perlbench_s,S_pad_findlex,S_pad_findlex,2.15,600.perlbench_s/S_pad_findlex.ll
600.perlbench_s,Perl_rpeep,Perl_rpeep,1.86,600.perlbench_s/Perl_rpeep.ll
600.perlbench_s,Perl_regexec_flags,Perl_regexec_flags,1.74,600.perlbench_s/Perl_regexec_flags.ll
600.perlbench_s,S_make_trie,S_make_trie,1.73,600.perlbench_s/S_make_trie.ll
600.perlbench_s,Perl_Slab_Alloc,Perl_Slab_Alloc,1.58,600.perlbench_s/Perl_Slab_Alloc.ll
600.perlbench_s,Perl_sv_gets,Perl_sv_gets,1.34,600.perlbench_s/Perl_sv_gets.ll
600.perlbench_s,Perl_pp_match,Perl_pp_match,1.33,600.perlbench_s/Perl_pp_match.ll
600.perlbench_s,Perl_sv_grow,Perl_sv_grow,1.07,600.perlbench_s/Perl_sv_grow.ll
600.perlbench_s,Perl_sv_catpvn_flags,Perl_sv_catpvn_flags,0.89,600.perlbench_s/Perl_sv_catpvn_flags.ll
600.perlbench_s,Perl_pp_entersub,Perl_pp_entersub,0.75,600.perlbench_s/Perl_pp_entersub.ll
600.perlbench_s,S_scan_str,S_scan_str,0.69,600.perlbench_s/S_scan_str.ll
602.gcc_s,ggc_alloc_stat,ggc_alloc_stat,13.81,602.gcc_s/ggc_alloc_stat.ll
602.gcc_s,init_optabs,init_optabs,8.88,602.gcc_s/init_optabs.ll
602.gcc_s,find_reloads,find_reloads,3.58,602.gcc_s/find_reloads.ll
602.gcc_s,ira_init,ira_init,3.03,602.gcc_s/ira_init.ll
602.gcc_s,constrain_operands,constrain_operands,2.57,602.gcc_s/constrain_operands.ll
602.gcc_s,cleanup_cfg,cleanup_cfg,2.57,602.gcc_s/cleanup_cfg.ll
602.gcc_s,div_significands,div_significands,2.56,602.gcc_s/div_significands.ll
602.gcc_s,ht_lookup,ht_lookup,2.23,602.gcc_s/ht_lookup.ll
602.gcc_s,recog_32,recog_32,2.15,602.gcc_s/recog_32.ll
602.gcc_s,normalize,normalize,2.09,602.gcc_s/normalize.ll
602.gcc_s,build_common_tree_nodes_2,build_common_tree_nodes_2,2.08,602.gcc_s/build_common_tree_nodes_2.ll
602.gcc_s,general_operand,general_operand,2.07,602.gcc_s/general_operand.ll
602.gcc_s,copyprop_hardreg_forward,copyprop_hardreg_forward,1.76,602.gcc_s/copyprop_hardreg_forward.ll
602.gcc_s,c_builtin_function,c_builtin_function,1.74,602.gcc_s/c_builtin_function.ll
602.gcc_s,decl_attributes,decl_attributes,1.53,602.gcc_s/decl_attributes.ll
602.gcc_s,rtd_divmod,rtd_divmod,1.47,602.gcc_s/rtd_divmod.ll
602.gcc_s,do_add,do_add,1.34,602.gcc_s/do_add.ll
602.gcc_s,gimple_merge_blocks,gimple_merge_blocks,1.34,602.gcc_s/gimple_merge_blocks.ll
602.gcc_s,ht_lookup_with_hash,ht_lookup_with_hash,1.28,602.gcc_s/ht_lookup_with_hash.ll
602.gcc_s,bitmap_bit_p,bitmap_bit_p,1.25,602.gcc_s/bitmap_bit_p.ll
605.mcf_s,spec_qsort,spec_qsort,51.88,605.mcf_s/spec_qsort.ll
605.mcf_s,primal_bea_mpp,primal_bea_mpp,33.16,605.mcf_s/primal_bea_mpp.ll
605.mcf_s,price_out_impl,price_out_impl,14.45,605.mcf_s/price_out_impl.ll
605.mcf_s,suspend_impl,suspend_impl,0.47,605.mcf_s/suspend_impl.ll
623.xalancbmk_s,destroyObject,_ZN11xalanc_1_1018ReusableArenaBlockINS_7XStringEtE13destroyObjectEPS1_,40.08,623.xalancbmk_s/_ZN11xalanc_1_1018ReusableArenaBlockINS_7XStringEtE13destroyObjectEPS1_.ll
623.xalancbmk_s,release,_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_30XalanCompiledStylesheetDefaultELb0EE7releaseEv,26.19,623.xalancbmk_s/_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_30XalanCompiledStylesheetDefaultELb0EE7releaseEv.ll
623.xalancbmk_s,equals,_ZNK11xercesc_2_79DOMString6equalsEPKt,2.35,623.xalancbmk_s/_ZNK11xercesc_2_79DOMString6equalsEPKt.ll
623.xalancbmk_s,executeMore,_ZNK11xalanc_1_105XPath11executeMoreEPNS_9XalanNodeEPKiRNS_21XPathExecutionContextERNS_18MutableNodeRefListE,2.16,623.xalancbmk_s/_ZNK11xalanc_1_105XPath11executeMoreEPNS_9XalanNodeEPKiRNS_21XPathExecutionContextERNS_18MutableNodeRefListE.ll
623.xalancbmk_s,findEntry,_ZNK11xalanc_1_1020XalanNamespacesStack25XalanNamespacesStackEntry9findEntryERKNS_14XalanDOMStringEMNS_14XalanNamespaceEKFS4_vES7_,1.90,623.xalancbmk_s/_ZNK11xalanc_1_1020XalanNamespacesStack25XalanNamespacesStackEntry9findEntryERKNS_14XalanDOMStringEMNS_14XalanNamespaceEKFS4_vES7_.ll
623.xalancbmk_s,doPushBack,_ZN11xalanc_1_1011XalanVectorIPN11xercesc_2_710DOMElementENS_31MemoryManagedConstructionTraitsIS3_EEE10doPushBackERKS3_,1.79,623.xalancbmk_s/_ZN11xalanc_1_1011XalanVectorIPN11xercesc_2_710DOMElementENS_31MemoryManagedConstructionTraitsIS3_EEE10doPushBackERKS3_.ll
623.xalancbmk_s,startElement,_ZN11xercesc_2_715ValueStoreCache12startElementEv,1.13,623.xalancbmk_s/_ZN11xercesc_2_715ValueStoreCache12startElementEv.ll
623.xalancbmk_s,execute,_ZNK11xalanc_1_108Function7executeERNS_21XPathExecutionContextEPNS_9XalanNodeENS_10XObjectPtrES5_PKN11xercesc_2_77LocatorE,0.94,623.xalancbmk_s/_ZNK11xalanc_1_108Function7executeERNS_21XPathExecutionContextEPNS_9XalanNodeENS_10XObjectPtrES5_PKN11xercesc_2_77LocatorE.ll
623.xalancbmk_s,runFunction,_ZNK11xalanc_1_105XPath11runFunctionEPNS_9XalanNodeEPKiRNS_21XPathExecutionContextE,0.75,623.xalancbmk_s/_ZNK11xalanc_1_105XPath11runFunctionEPNS_9XalanNodeEPKiRNS_21XPathExecutionContextE.ll
623.xalancbmk_s,append,_ZN11xercesc_2_79XMLBuffer6appendEt,0.69,623.xalancbmk_s/_ZN11xercesc_2_79XMLBuffer6appendEt.ll
623.xalancbmk_s,findXObject,_ZN11xalanc_1_1014VariablesStack11findXObjectERKNS_10XalanQNameERNS_26StylesheetExecutionContextEbbRb,0.69,623.xalancbmk_s/_ZN11xalanc_1_1014VariablesStack11findXObjectERKNS_10XalanQNameERNS_26StylesheetExecutionContextEbbRb.ll
623.xalancbmk_s,doReturnObject,_ZN11xalanc_1_1019XPathFactoryDefault14doReturnObjectEPKNS_5XPathEb,0.68,623.xalancbmk_s/_ZN11xalanc_1_1019XPathFactoryDefault14doReturnObjectEPKNS_5XPathEb.ll
623.xalancbmk_s,round,_ZN11xalanc_1_1013DoubleSupport5roundEd,0.60,623.xalancbmk_s/_ZN11xalanc_1_1013DoubleSupport5roundEd.ll
623.xalancbmk_s,allocateBlock,_ZN11xalanc_1_1018ReusableArenaBlockINS_19XTokenStringAdapterEtE13allocateBlockEv,0.59,623.xalancbmk_s/_ZN11xalanc_1_1018ReusableArenaBlockINS_19XTokenStringAdapterEtE13allocateBlockEv.ll
623.xalancbmk_s,transcodeFrom,_ZN11xercesc_2_717XMLUTF8Transcoder13transcodeFromEPKhjPtjRjPh,0.48,623.xalancbmk_s/_ZN11xercesc_2_717XMLUTF8Transcoder13transcodeFromEPKhjPtjRjPh.ll
623.xalancbmk_s,getHashVal,_ZN11xercesc_2_79HashXMLCh10getHashValEPKvjPNS_13MemoryManagerE,0.47,623.xalancbmk_s/_ZN11xercesc_2_79HashXMLCh10getHashValEPKvjPNS_13MemoryManagerE.ll
623.xalancbmk_s,getVariable,_ZN11xalanc_1_1028XPathExecutionContextDefault11getVariableERKNS_10XalanQNameEPKN11xercesc_2_77LocatorE,0.37,623.xalancbmk_s/_ZN11xalanc_1_1028XPathExecutionContextDefault11getVariableERKNS_10XalanQNameEPKN11xercesc_2_77LocatorE.ll
623.xalancbmk_s,get,_ZNK11xalanc_1_1017XalanArrayAutoPtrIN6Params9ParamPairEE3getEv,0.35,623.xalancbmk_s/_ZNK11xalanc_1_1017XalanArrayAutoPtrIN6Params9ParamPairEE3getEv.ll
625.x264_s,computeSSIM,computeSSIM,100.00,625.x264_s/computeSSIM.ll
657.xz_s,sha_compress,sha_compress,27.16,657.xz_s/sha_compress.ll
657.xz_s,lzma_decode,lzma_decode,25.19,657.xz_s/lzma_decode.ll
657.xz_s,lzma_lzma_optimum_normal,lzma_lzma_optimum_normal,16.33,657.xz_s/lzma_lzma_optimum_normal.ll
657.xz_s,lzma_mf_bt4_find,lzma_mf_bt4_find,7.97,657.xz_s/lzma_mf_bt4_find.ll
657.xz_s,rc_encode,rc_encode,7.13,657.xz_s/rc_encode.ll
657.xz_s,lzma_mf_bt4_skip,lzma_mf_bt4_skip,3.46,657.xz_s/lzma_mf_bt4_skip.ll
